Country,Gender,Sector,Job Seniority,Company Size,Age Ranges,Connectivity Status,Count
PHL,Any Gender,Finance,Any Job Seniority,Any Company Size,Any Age Range,connected to big companies,0
PHL,Any Gender,Finance,Any Job Seniority,Any Company Size,Any Age Range,connected to any,380000
PHL,Any Gender,Finance,Any Job Seniority,Any Company Size,55+,connected to big companies,0
PHL,Any Gender,Finance,Any Job Seniority,Any Company Size,55+,connected to any,7500
PHL,Any Gender,Finance,Any Job Seniority,Any Company Size,35 to 54,connected to big companies,0
PHL,Any Gender,Finance,Any Job Seniority,Any Company Size,35 to 54,connected to any,78000
PHL,Any Gender,Finance,Any Job Seniority,Any Company Size,25 to 34,connected to big companies,0
PHL,Any Gender,Finance,Any Job Seniority,Any Company Size,25 to 34,connected to any,240000
PHL,Any Gender,Finance,Any Job Seniority,Any Company Size,18 to 24,connected to big companies,0
PHL,Any Gender,Finance,Any Job Seniority,Any Company Size,18 to 24,connected to any,54000
PHL,Any Gender,Finance,Any Job Seniority,"10,001+ employees",Any Age Range,connected to big companies,0
PHL,Any Gender,Finance,Any Job Seniority,"10,001+ employees",Any Age Range,connected to any,91000
PHL,Any Gender,Finance,Any Job Seniority,"10,001+ employees",55+,connected to big companies,0
PHL,Any Gender,Finance,Any Job Seniority,"10,001+ employees",55+,connected to any,1500
PHL,Any Gender,Finance,Any Job Seniority,"10,001+ employees",35 to 54,connected to big companies,0
PHL,Any Gender,Finance,Any Job Seniority,"10,001+ employees",35 to 54,connected to any,24000
PHL,Any Gender,Finance,Any Job Seniority,"10,001+ employees",25 to 34,connected to big companies,0
PHL,Any Gender,Finance,Any Job Seniority,"10,001+ employees",25 to 34,connected to any,53000
PHL,Any Gender,Finance,Any Job Seniority,"10,001+ employees",18 to 24,connected to big companies,0
PHL,Any Gender,Finance,Any Job Seniority,"10,001+ employees",18 to 24,connected to any,11000
PHL,Any Gender,Finance,Any Job Seniority,"5001-10,000 employees",Any Age Range,connected to big companies,0
PHL,Any Gender,Finance,Any Job Seniority,"5001-10,000 employees",Any Age Range,connected to any,33000
PHL,Any Gender,Finance,Any Job Seniority,"5001-10,000 employees",55+,connected to big companies,0
PHL,Any Gender,Finance,Any Job Seniority,"5001-10,000 employees",55+,connected to any,530
PHL,Any Gender,Finance,Any Job Seniority,"5001-10,000 employees",35 to 54,connected to big companies,0
PHL,Any Gender,Finance,Any Job Seniority,"5001-10,000 employees",35 to 54,connected to any,6400
PHL,Any Gender,Finance,Any Job Seniority,"5001-10,000 employees",25 to 34,connected to big companies,0
PHL,Any Gender,Finance,Any Job Seniority,"5001-10,000 employees",25 to 34,connected to any,20000
PHL,Any Gender,Finance,Any Job Seniority,"5001-10,000 employees",18 to 24,connected to big companies,0
PHL,Any Gender,Finance,Any Job Seniority,"5001-10,000 employees",18 to 24,connected to any,5800
PHL,Any Gender,Finance,Any Job Seniority,1001-5000 employees,Any Age Range,connected to big companies,0
PHL,Any Gender,Finance,Any Job Seniority,1001-5000 employees,Any Age Range,connected to any,44000
PHL,Any Gender,Finance,Any Job Seniority,1001-5000 employees,55+,connected to big companies,0
PHL,Any Gender,Finance,Any Job Seniority,1001-5000 employees,55+,connected to any,850
PHL,Any Gender,Finance,Any Job Seniority,1001-5000 employees,35 to 54,connected to big companies,0
PHL,Any Gender,Finance,Any Job Seniority,1001-5000 employees,35 to 54,connected to any,10000
PHL,Any Gender,Finance,Any Job Seniority,1001-5000 employees,25 to 34,connected to big companies,0
